;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;target;post_campaign_action
60;41;blue-collar;married;primary;no;-516.0;no;yes;telephone;8;jul;554;3;-1;0;unknown;no;1
61;63;retired;married;secondary;no;415.0;yes;no;cellular;7;oct;323;1;-1;0;unknown;no;1
62;48;management;married;tertiary;no;5887.0;no;no;cellular;13;aug;227;2;-1;0;unknown;no;1
63;48;services;married;secondary;no;1355.0;no;no;cellular;4;jul;134;2;-1;0;unknown;no;0
64;56;admin.;married;secondary;no;16873.0;no;no;cellular;7;oct;223;1;-1;0;unknown;no;0
65;51;unknown;divorced;secondary;no;203.0;yes;no;;8;may;134;1;170;5;failure;no;0
66;31;services;married;secondary;no;338.0;yes;no;cellular;28;jan;155;1;-1;0;unknown;no;0
67;29;technician;married;secondary;no;444.0;yes;no;cellular;21;jul;130;4;-1;0;unknown;no;0
68;41;management;married;secondary;no;0.0;no;yes;cellular;7;jul;630;3;-1;0;unknown;no;0
69;32;technician;single;tertiary;no;360.0;no;no;cellular;19;nov;164;2;-1;0;unknown;no;0
70;37;management;married;tertiary;no;0.0;no;no;cellular;16;jul;268;2;182;3;success;yes;0
71;42;entrepreneur;divorced;tertiary;yes;2.0;yes;no;unknown;5;may;380;1;-1;0;unknown;no;1
72;31;management;single;tertiary;no;6248.0;yes;no;unknown;9;may;154;2;-1;0;unknown;no;0
73;41;services;married;tertiary;no;412.0;yes;no;unknown;3;jun;154;5;-1;0;unknown;no;1
74;56;retired;married;secondary;no;344.0;yes;no;unknown;15;may;221;1;-1;0;unknown;no;1
75;54;management;divorced;tertiary;no;3222.0;no;no;cellular;14;aug;67;2;-1;0;unknown;no;0
76;41;blue-collar;divorced;secondary;no;174.0;yes;no;cellular;14;may;367;2;297;1;other;no;1
77;40;technician;single;secondary;no;591.0;no;yes;cellular;14;aug;87;6;-1;0;unknown;no;0
78;50;blue-collar;divorced;primary;no;;no;no;cellular;5;feb;701;1;-1;0;unknown;no;0
79;40;unemployed;married;secondary;no;219.0;yes;no;cellular;17;nov;204;2;196;1;unknown;no;0
80;27;admin.;divorced;secondary;no;451.0;yes;no;unknown;16;jul;652;1;-1;0;unknown;yes;1
81;60;retired;married;primary;no;5.0;no;no;cellular;26;aug;63;2;-1;0;unknown;no;0
82;28;admin.;single;secondary;no;177.0;yes;yes;cellular;6;may;150;1;-1;0;unknown;no;0
83;52;services;married;secondary;no;657.0;no;no;telephone;7;jul;398;2;460;2;failure;yes;1
84;37;management;married;tertiary;no;1315.0;no;no;cellular;30;jun;224;1;-1;0;unknown;yes;1
85;51;blue-collar;married;primary;no;1466.0;yes;no;unknown;7;may;406;2;-1;0;unknown;no;1
86;41;technician;single;;no;879.0;no;yes;cellular;7;jul;60;4;-1;0;unknown;no;1
87;35;blue-collar;single;primary;no;293.0;yes;no;unknown;30;may;521;2;-1;0;unknown;no;0
88;38;admin.;married;secondary;no;424.0;yes;no;cellular;17;apr;279;1;-1;0;unknown;no;0
89;34;blue-collar;married;secondary;no;1831.0;yes;no;unknown;20;may;203;2;-1;0;unknown;no;0
90;39;blue-collar;married;primary;no;111.0;no;no;cellular;18;nov;201;2;-1;0;unknown;no;1
91;34;blue-collar;married;primary;no;455.0;yes;no;unknown;20;jun;372;3;-1;0;unknown;no;0
92;27;services;single;secondary;no;-195.0;yes;no;cellular;18;may;391;1;-1;0;unknown;yes;0
93;32;management;single;tertiary;no;3616.0;no;no;cellular;14;aug;165;2;-1;0;unknown;no;0
94;57;blue-collar;married;secondary;no;;no;no;cellular;11;aug;231;5;-1;0;unknown;no;0
95;41;unknown;single;tertiary;no;1567.0;no;no;cellular;1;jul;291;2;-1;0;unknown;no;1
96;41;admin.;married;tertiary;no;5426.0;yes;no;unknown;14;may;149;2;-1;0;unknown;no;0
97;30;admin.;single;;no;261.0;no;no;cellular;19;oct;233;1;137;20;failure;no;0
98;36;blue-collar;divorced;secondary;no;2843.0;no;no;cellular;12;feb;473;1;182;1;success;no;0
99;31;unemployed;single;primary;no;406.0;no;no;cellular;4;feb;736;1;-1;0;unknown;yes;1
100;36;blue-collar;married;secondary;no;0.0;yes;no;unknown;6;may;337;1;-1;0;unknown;no;0
101;38;management;single;tertiary;no;493.0;yes;no;cellular;11;may;553;1;367;7;failure;no;0
102;49;technician;married;;no;5996.0;no;no;telephone;21;nov;345;2;-1;0;unknown;no;1
103;57;services;single;primary;no;3777.0;yes;no;telephone;13;may;65;2;-1;0;unknown;no;0
104;34;management;single;secondary;no;524.0;no;no;unknown;13;aug;9;1;-1;0;unknown;no;0
105;32;management;single;tertiary;no;574.0;yes;no;cellular;14;apr;259;2;145;3;failure;no;0
106;37;blue-collar;married;secondary;no;427.0;yes;yes;unknown;9;jun;371;3;-1;0;unknown;no;1
107;33;self-employed;married;tertiary;no;483.0;yes;no;;3;feb;280;2;-1;0;unknown;no;0
108;56;unemployed;married;primary;no;3391.0;no;no;cellular;21;apr;243;1;-1;0;unknown;yes;0
109;27;housemaid;married;primary;no;;yes;no;cellular;23;jul;435;3;-1;0;unknown;no;1
110;21;student;single;secondary;no;2488.0;no;no;cellular;30;jun;258;6;169;3;success;yes;0
111;58;management;married;tertiary;no;1517.0;yes;no;telephone;29;jul;7;5;-1;0;unknown;no;0
112;32;self-employed;married;secondary;no;217.0;yes;yes;cellular;15;jul;317;5;-1;0;unknown;no;0
113;33;blue-collar;single;secondary;no;22.0;no;no;cellular;30;jan;76;2;207;1;failure;no;0
114;25;student;single;secondary;no;331.0;no;no;telephone;26;aug;170;4;-1;0;unknown;yes;0
115;25;technician;single;secondary;no;505.0;no;yes;cellular;17;nov;386;2;-1;0;unknown;yes;1
116;30;services;married;secondary;no;1808.0;yes;no;cellular;18;may;83;2;-1;0;unknown;no;0
117;22;admin.;single;secondary;no;4111.0;no;yes;cellular;19;aug;65;1;-1;0;unknown;no;0
118;39;blue-collar;married;primary;no;52.0;no;no;cellular;13;aug;69;1;-1;0;unknown;no;0
119;46;management;divorced;tertiary;no;25.0;no;no;unknown;17;jun;564;2;-1;0;unknown;no;0
120;31;admin.;divorced;secondary;no;1890.0;yes;no;cellular;21;jul;588;1;-1;0;unknown;no;0
121;45;blue-collar;married;primary;no;419.0;no;no;cellular;18;aug;113;4;-1;0;unknown;no;1
122;32;technician;married;secondary;no;2693.0;yes;no;unknown;21;may;16;1;-1;0;unknown;no;0
123;36;blue-collar;married;secondary;no;-231.0;no;yes;cellular;15;jul;779;2;-1;0;unknown;no;1
124;51;management;single;tertiary;yes;-55.0;yes;no;cellular;11;may;281;2;266;6;failure;no;0
125;34;self-employed;single;tertiary;no;462.0;no;no;cellular;21;aug;1877;3;-1;0;unknown;yes;1
126;24;unemployed;single;secondary;no;119.0;no;no;unknown;15;sep;51;1;-1;0;unknown;no;1
127;45;technician;single;secondary;no;586.0;no;yes;cellular;28;jul;32;3;-1;0;unknown;no;1
128;32;blue-collar;single;secondary;no;228.0;no;no;telephone;5;feb;176;1;288;3;failure;no;0
129;77;retired;divorced;tertiary;no;4659.0;no;no;cellular;14;apr;161;1;-1;0;unknown;yes;1
130;41;blue-collar;married;primary;no;168.0;yes;no;;18;nov;187;3;-1;0;unknown;no;1
131;37;blue-collar;married;primary;no;0.0;yes;no;unknown;26;may;24;1;-1;0;unknown;no;0
132;43;blue-collar;married;unknown;yes;-715.0;yes;no;unknown;30;may;67;3;-1;0;unknown;no;1
133;48;admin.;married;unknown;no;0.0;yes;no;cellular;8;may;85;1;168;2;failure;no;1
134;27;technician;single;secondary;no;769.0;yes;no;unknown;9;may;317;2;-1;0;unknown;no;0
135;33;management;single;tertiary;no;0.0;no;no;cellular;28;aug;236;10;-1;0;unknown;no;1
136;29;admin.;single;secondary;no;428.0;yes;yes;cellular;7;may;54;1;345;2;failure;no;0
137;34;management;single;tertiary;no;0.0;no;no;cellular;5;feb;71;1;-1;0;unknown;no;1
138;52;management;married;tertiary;no;-970.0;yes;no;cellular;4;feb;489;1;-1;0;unknown;yes;1
139;60;management;married;unknown;no;6313.0;no;no;unknown;19;jun;39;2;-1;0;unknown;no;0
140;32;management;divorced;tertiary;no;948.0;no;no;cellular;12;aug;204;2;-1;0;unknown;no;1
141;32;management;single;tertiary;no;0.0;yes;no;cellular;22;jul;455;2;-1;0;unknown;no;0
142;56;services;divorced;unknown;no;1877.0;yes;no;unknown;30;may;86;1;-1;0;unknown;no;1
143;31;management;single;tertiary;no;874.0;yes;no;cellular;18;nov;190;2;-1;0;unknown;no;0
144;42;admin.;married;secondary;no;323.0;yes;yes;;8;may;280;2;-1;0;unknown;no;0
145;35;management;married;tertiary;no;106.0;no;yes;cellular;11;aug;588;2;-1;0;unknown;no;0
146;56;retired;married;primary;no;1906.0;no;yes;unknown;19;jun;45;9;-1;0;unknown;no;0
147;48;technician;married;secondary;no;1152.0;yes;no;cellular;21;jul;168;5;-1;0;unknown;no;0
148;46;admin.;married;secondary;no;179.0;yes;no;cellular;29;jan;194;4;436;1;other;no;0
149;37;technician;single;unknown;no;391.0;yes;no;unknown;8;may;103;3;-1;0;unknown;no;1
150;41;entrepreneur;married;unknown;no;89.0;yes;no;unknown;6;may;333;2;-1;0;unknown;no;1
151;36;management;single;tertiary;no;442.0;yes;yes;cellular;29;jul;102;3;-1;0;unknown;no;0
152;45;unemployed;divorced;primary;yes;-249.0;yes;yes;unknown;1;jul;92;1;-1;0;unknown;no;0
153;55;entrepreneur;married;secondary;no;8104.0;no;no;cellular;6;feb;213;2;-1;0;unknown;no;1
154;39;technician;married;secondary;no;501.0;no;no;unknown;26;may;289;1;-1;0;unknown;no;1
155;35;technician;divorced;secondary;no;308.0;no;no;cellular;22;aug;77;2;-1;0;unknown;no;0
156;55;admin.;married;secondary;no;602.0;no;no;unknown;1;jun;324;3;90;2;success;yes;0
157;55;technician;married;secondary;no;273.0;yes;no;cellular;29;jan;84;3;183;3;failure;no;0
158;27;self-employed;single;secondary;no;50.0;no;no;cellular;29;jan;168;1;-1;0;unknown;no;1
159;34;technician;married;secondary;no;1641.0;yes;no;cellular;17;apr;380;1;-1;0;unknown;no;0
160;34;blue-collar;married;tertiary;no;20.0;no;no;unknown;4;oct;10;1;-1;0;unknown;no;0
161;25;admin.;single;secondary;no;4590.0;yes;no;unknown;28;may;199;2;-1;0;unknown;no;0
162;41;admin.;single;secondary;no;-256.0;no;yes;unknown;9;may;35;3;-1;0;unknown;no;0
163;43;services;married;secondary;no;978.0;yes;yes;;26;may;82;2;-1;0;unknown;no;1
164;28;management;single;tertiary;no;80.0;no;no;cellular;20;oct;676;2;146;2;failure;yes;1
165;31;admin.;single;secondary;no;2104.0;yes;no;unknown;3;jun;455;1;-1;0;unknown;no;0
166;78;housemaid;married;secondary;no;499.0;no;no;telephone;16;mar;80;4;-1;0;unknown;no;1
167;45;blue-collar;divorced;secondary;no;1269.0;yes;no;cellular;29;jan;549;2;-1;0;unknown;no;1
168;48;technician;married;tertiary;no;310.0;no;no;unknown;6;may;135;1;-1;0;unknown;no;0
169;32;blue-collar;single;secondary;no;1143.0;yes;yes;cellular;10;jul;412;1;-1;0;unknown;no;0
170;42;technician;married;secondary;no;2980.0;no;no;unknown;20;jun;101;3;-1;0;unknown;no;0
171;37;management;single;tertiary;no;37.0;no;no;cellular;28;jan;253;2;-1;0;unknown;no;0
172;40;admin.;single;secondary;no;462.0;yes;yes;cellular;6;apr;272;1;335;4;other;no;1
173;32;admin.;married;secondary;no;1031.0;yes;no;cellular;17;jul;84;1;-1;0;unknown;no;0
174;42;management;married;tertiary;no;9009.0;no;no;cellular;20;nov;135;2;-1;0;unknown;no;1
175;43;admin.;married;secondary;no;-465.0;yes;yes;cellular;23;jul;166;1;-1;0;unknown;no;0
176;44;admin.;married;secondary;no;5181.0;yes;yes;cellular;31;jul;18;7;-1;0;unknown;no;0
177;37;admin.;married;secondary;no;176.0;yes;no;cellular;5;may;147;2;347;1;failure;no;0
178;37;unknown;married;unknown;no;1699.0;no;no;unknown;9;jun;63;1;-1;0;unknown;no;0
179;37;admin.;married;tertiary;no;0.0;yes;no;cellular;17;nov;65;2;119;1;failure;no;0
180;28;technician;single;tertiary;no;172.0;yes;yes;cellular;2;feb;194;2;-1;0;unknown;no;0
181;32;services;single;secondary;no;0.0;no;yes;cellular;11;jul;333;2;-1;0;unknown;no;1
182;34;admin.;single;secondary;no;6979.0;yes;no;cellular;15;may;14;5;-1;0;unknown;no;1
183;40;admin.;divorced;secondary;no;6.0;no;no;unknown;11;jun;140;1;-1;0;unknown;no;1
184;34;services;married;secondary;no;-62.0;yes;no;unknown;16;jun;109;3;-1;0;unknown;no;1
185;34;unknown;married;;no;1972.0;yes;no;cellular;23;jul;61;2;-1;0;unknown;no;0
186;34;admin.;married;tertiary;no;899.0;yes;no;telephone;19;nov;377;3;7;4;success;no;0
187;37;services;single;secondary;no;21.0;yes;no;cellular;2;feb;96;1;271;2;other;no;1
188;36;technician;married;secondary;no;23.0;yes;no;cellular;8;may;152;2;347;1;failure;no;0
189;56;retired;married;secondary;no;-1206.0;yes;no;cellular;15;jun;382;2;-1;0;unknown;yes;1
190;49;blue-collar;married;primary;no;0.0;yes;yes;telephone;23;jul;97;6;-1;0;unknown;no;0
191;33;self-employed;married;secondary;no;215.0;yes;no;cellular;29;jul;543;12;-1;0;unknown;no;1
192;30;management;single;tertiary;no;1372.0;no;no;cellular;20;nov;240;2;-1;0;unknown;no;0
193;36;services;married;secondary;no;1981.0;no;no;;17;jun;48;2;-1;0;unknown;no;0
194;23;student;single;secondary;no;9216.0;no;no;cellular;5;jun;471;2;-1;0;unknown;no;1
195;57;retired;divorced;secondary;no;;yes;no;cellular;30;jul;354;3;-1;0;unknown;no;0
196;27;;single;secondary;no;5563.0;yes;no;unknown;30;may;435;2;-1;0;unknown;no;0
197;38;services;married;secondary;no;1.0;no;yes;;21;nov;152;2;-1;0;unknown;no;1
198;42;technician;married;tertiary;no;782.0;no;no;cellular;3;apr;285;1;-1;0;unknown;no;0
199;75;retired;married;secondary;no;3771.0;no;no;telephone;15;apr;185;1;181;2;success;yes;1
200;34;technician;single;tertiary;no;992.0;yes;no;cellular;4;may;301;1;88;2;success;no;0
201;48;technician;married;secondary;no;1526.0;no;no;cellular;6;aug;273;2;-1;0;unknown;no;0
202;35;technician;single;tertiary;no;2658.0;yes;no;cellular;19;aug;768;2;141;3;failure;yes;1
203;39;management;divorced;tertiary;no;1315.0;yes;no;cellular;19;nov;1337;4;126;1;failure;no;0
204;29;blue-collar;single;tertiary;no;455.0;no;no;telephone;21;apr;403;1;-1;0;unknown;yes;0
205;45;technician;single;tertiary;no;0.0;yes;no;cellular;18;nov;139;2;-1;0;unknown;no;0
206;42;technician;married;secondary;no;2030.0;yes;yes;cellular;9;jul;196;1;-1;0;unknown;no;1
207;29;technician;married;secondary;no;1599.0;yes;no;cellular;8;jul;115;1;61;1;failure;no;0
208;38;services;single;secondary;no;-196.0;yes;no;cellular;2;feb;60;1;271;1;failure;no;1
209;56;retired;married;secondary;no;1333.0;no;no;cellular;28;aug;17;14;-1;0;unknown;no;0
210;36;technician;single;secondary;no;9149.0;yes;no;cellular;13;aug;141;3;-1;0;unknown;no;1
211;25;blue-collar;single;secondary;no;-350.0;yes;no;unknown;23;jun;95;3;-1;0;unknown;no;0
212;38;technician;married;tertiary;no;432.0;yes;no;cellular;15;may;10;2;373;1;other;no;1
213;57;self-employed;married;secondary;no;11494.0;no;no;cellular;19;nov;198;1;-1;0;unknown;no;0
214;31;management;married;tertiary;yes;-253.0;no;no;cellular;12;aug;220;4;-1;0;unknown;no;0
215;42;management;married;tertiary;no;372.0;yes;no;cellular;3;aug;654;2;-1;0;unknown;yes;1
216;45;technician;married;secondary;no;1410.0;no;no;cellular;11;aug;71;2;-1;0;unknown;no;0
217;30;blue-collar;married;secondary;no;975.0;yes;no;cellular;13;may;256;2;351;2;failure;no;1
218;49;blue-collar;married;primary;no;305.0;yes;yes;telephone;10;jul;834;10;-1;0;unknown;no;1
219;49;services;married;secondary;no;400.0;no;no;cellular;21;aug;151;3;-1;0;unknown;no;1
220;53;retired;married;tertiary;no;-22.0;yes;no;cellular;31;jul;20;3;-1;0;unknown;no;0
221;37;technician;married;secondary;no;4030.0;yes;no;unknown;26;may;178;5;-1;0;unknown;no;1
222;49;blue-collar;married;primary;no;;no;no;unknown;26;may;59;2;-1;0;unknown;no;0
223;41;self-employed;married;primary;no;204.0;no;no;cellular;13;aug;111;7;-1;0;unknown;no;1
224;54;management;married;primary;no;1691.0;yes;no;cellular;20;nov;186;1;-1;0;unknown;no;0
225;32;services;single;secondary;no;406.0;yes;no;unknown;6;may;227;1;-1;0;unknown;no;1
226;33;technician;married;secondary;no;-204.0;no;no;cellular;15;may;297;3;-1;0;unknown;no;1
227;33;technician;married;secondary;no;359.0;yes;no;cellular;20;apr;210;1;242;1;other;no;0
228;36;blue-collar;married;primary;no;123.0;yes;no;cellular;18;may;9;1;-1;0;unknown;no;0
229;35;technician;married;tertiary;no;0.0;yes;yes;unknown;23;sep;112;1;62;6;other;no;0
230;52;unknown;married;secondary;no;142.0;no;no;cellular;25;aug;112;6;-1;0;unknown;no;0
231;40;entrepreneur;married;tertiary;no;3571.0;no;no;unknown;9;jun;222;3;-1;0;unknown;no;1
232;44;technician;single;secondary;no;33.0;yes;no;cellular;13;may;195;3;351;10;failure;no;1
233;45;blue-collar;single;secondary;no;0.0;yes;no;;26;jul;768;2;91;5;success;no;1
234;30;student;single;secondary;no;3096.0;no;no;cellular;26;jan;123;1;-1;0;unknown;no;0
235;48;technician;divorced;secondary;yes;20.0;no;no;cellular;27;aug;145;3;-1;0;unknown;no;0
236;33;blue-collar;married;secondary;no;3576.0;yes;no;cellular;2;apr;124;1;308;2;other;no;0
237;57;technician;married;unknown;no;206.0;yes;no;unknown;5;may;216;3;-1;0;unknown;no;0
238;57;housemaid;married;primary;no;7082.0;no;no;unknown;6;jun;69;3;-1;0;unknown;no;1
239;51;unemployed;married;tertiary;no;;yes;no;cellular;22;jul;168;4;-1;0;unknown;no;0
240;34;admin.;single;secondary;no;1.0;yes;no;cellular;22;jul;483;7;-1;0;unknown;no;0
241;50;self-employed;married;tertiary;no;4012.0;no;no;cellular;19;nov;690;3;-1;0;unknown;no;0
242;44;management;married;tertiary;no;3762.0;no;no;cellular;28;aug;125;12;-1;0;unknown;no;0
243;27;admin.;married;secondary;no;-247.0;yes;yes;unknown;4;jun;344;2;-1;0;unknown;no;0
244;50;blue-collar;married;secondary;no;606.0;yes;no;unknown;14;may;673;2;-1;0;unknown;no;0
245;36;management;married;tertiary;no;0.0;yes;no;cellular;28;jan;60;1;250;1;other;no;1
246;42;management;married;secondary;no;-189.0;yes;no;unknown;12;may;247;2;-1;0;unknown;no;0
247;32;unemployed;single;secondary;no;0.0;no;no;cellular;27;may;123;2;-1;0;unknown;no;0
248;42;unknown;married;tertiary;no;;yes;no;cellular;11;jul;144;2;-1;0;unknown;no;0
249;43;unknown;married;secondary;no;0.0;no;yes;cellular;8;may;9;2;172;5;failure;no;0
250;31;management;married;tertiary;no;395.0;yes;no;cellular;9;feb;155;3;-1;0;unknown;no;0
251;32;management;married;tertiary;no;2349.0;no;no;cellular;14;aug;134;5;-1;0;unknown;no;0
252;55;blue-collar;divorced;primary;no;410.0;no;yes;cellular;11;jul;221;2;-1;0;unknown;no;1
253;58;retired;married;primary;no;3401.0;yes;no;cellular;3;feb;84;3;265;2;failure;no;0
254;46;blue-collar;married;primary;no;222.0;no;no;cellular;8;aug;71;2;-1;0;unknown;no;0
255;55;blue-collar;married;secondary;no;989.0;yes;yes;unknown;23;may;246;4;-1;0;unknown;no;1
256;34;management;married;tertiary;no;415.0;no;yes;cellular;23;jul;361;2;-1;0;unknown;no;0
257;28;unemployed;single;secondary;no;16.0;no;no;cellular;12;aug;119;4;-1;0;unknown;no;0
258;42;technician;divorced;tertiary;no;7190.0;yes;no;cellular;29;jul;375;2;-1;0;unknown;no;0
259;29;blue-collar;single;secondary;no;482.0;no;yes;cellular;10;jul;1097;3;-1;0;unknown;yes;1
260;54;housemaid;married;secondary;no;209.0;yes;yes;cellular;25;jul;97;1;-1;0;unknown;no;1
261;32;technician;single;secondary;no;0.0;no;no;cellular;26;aug;181;2;-1;0;unknown;no;0
262;39;technician;single;tertiary;no;5803.0;no;no;cellular;2;feb;83;3;-1;0;unknown;no;1
263;53;entrepreneur;married;tertiary;no;624.0;no;yes;cellular;21;jul;180;4;-1;0;unknown;no;0
264;58;technician;married;tertiary;no;883.0;no;no;cellular;18;aug;543;1;78;2;failure;no;1
265;40;self-employed;married;secondary;no;1516.0;yes;yes;unknown;23;may;373;1;-1;0;unknown;no;1
266;29;student;single;secondary;no;872.0;yes;no;unknown;7;may;230;1;-1;0;unknown;no;1
267;33;technician;married;tertiary;no;-988.0;yes;yes;cellular;15;jul;83;3;-1;0;unknown;no;0
268;38;admin.;single;secondary;no;902.0;yes;no;telephone;31;jul;58;13;-1;0;unknown;no;1
269;56;services;divorced;secondary;no;1007.0;no;no;cellular;29;jul;88;6;-1;0;unknown;no;0
270;40;services;married;secondary;no;0.0;yes;no;cellular;2;jun;297;1;28;3;unknown;no;0
271;24;blue-collar;single;secondary;no;174.0;yes;yes;cellular;18;may;487;1;-1;0;unknown;yes;0
272;46;management;married;secondary;no;12186.0;no;no;unknown;20;jun;29;3;-1;0;unknown;no;0
273;35;self-employed;married;secondary;no;524.0;yes;no;cellular;21;nov;484;4;-1;0;unknown;no;0
274;35;blue-collar;single;tertiary;no;0.0;yes;no;cellular;21;jul;262;4;-1;0;unknown;no;0
